id,date,systeme_id,asset_id,score,vrai_defaut,alerte,cout
INSP_3EE95106,2026-01-19,SYS_079,AST_F5251E52,0.277306,0,0,60.0
INSP_33D9FB7A,2026-01-21,SYS_059,AST_1F05FC1B,0.753496,0,0,60.0
INSP_86422050,2026-01-22,SYS_084,AST_F5A48F47,0.088924,0,0,60.0
INSP_E7204F7C,2026-01-22,SYS_112,AST_72528000,0.177913,0,0,60.0
INSP_2843EB10,2026-01-22,SYS_120,AST_F223BB43,0.285072,0,0,60.0
INSP_1FAD2702,2026-01-23,SYS_036,AST_ABE04F58,0.36991,0,0,60.0
INSP_6B68FD80,2026-01-23,SYS_098,AST_336E36C7,0.015715,0,0,60.0
INSP_86C98303,2026-01-23,SYS_123,AST_745D2B0D,0.10977,0,0,60.0
INSP_5292E389,2026-01-23,SYS_177,AST_D268BF76,0.223197,0,0,60.0
INSP_8108A0CC,2026-01-24,SYS_087,AST_CEA7BD4E,0.20044,0,0,60.0
INSP_EC49A438,2026-01-24,SYS_162,AST_FA7C66DB,-0.098067,0,0,60.0
INSP_4288A868,2026-01-25,SYS_005,AST_2355582B,0.154304,0,0,60.0
INSP_88A32972,2026-01-25,SYS_012,AST_400DB418,-0.005562,0,0,60.0
INSP_64C2315A,2026-01-25,SYS_017,AST_06D80C94,0.232428,0,0,60.0
INSP_BDE91FE5,2026-01-25,SYS_044,AST_24282EF9,0.084358,0,0,60.0
INSP_7A6B007D,2026-01-25,SYS_105,AST_7866AE54,0.274602,0,0,60.0
INSP_A20BBDA0,2026-01-25,SYS_171,AST_BFB41487,0.100246,0,0,60.0
INSP_45018059,2026-01-26,SYS_010,AST_BA1E579E,0.331335,0,0,60.0
INSP_C1B2E753,2026-01-26,SYS_020,AST_A7767CC7,-0.075862,0,0,60.0
INSP_F7A183C9,2026-01-26,SYS_023,AST_7155CAE3,0.194182,0,0,60.0
INSP_3823CF88,2026-01-26,SYS_024,AST_360766DC,0.183599,0,0,60.0
INSP_DB8E0E8B,2026-01-26,SYS_037,AST_12C3D6E6,0.245753,0,0,60.0
INSP_DCFA3266,2026-01-26,SYS_040,AST_D89EE066,0.572333,0,0,60.0
INSP_1AA2B1D1,2026-01-26,SYS_041,AST_5F735C82,0.239162,0,0,60.0
INSP_5E532452,2026-01-26,SYS_081,AST_2559F2BC,0.389244,0,0,60.0
INSP_98D07891,2026-01-26,SYS_094,AST_DDF229A0,0.464632,0,0,60.0
INSP_BE488CB7,2026-01-26,SYS_099,AST_2E2BCA5E,0.143715,0,0,60.0
INSP_6FEFB273,2026-01-26,SYS_118,AST_CD01BE37,0.360906,0,0,60.0
INSP_4213765C,2026-01-26,SYS_140,AST_82DF0E33,0.412863,0,0,60.0
