id,date,systeme_id,asset_id,usure,probabilite_journaliere,cout
FAIL_C7B31209,2026-04-03,SYS_026,AST_DC1A2F24,0.779437,0.00037176,8135.32
FAIL_578CE46A,2026-04-18,SYS_187,AST_423F5534,0.909119,0.00043228,8290.94
FAIL_F3F8B9C6,2026-05-10,SYS_017,AST_06D80C94,1.097413,0.00053819,8516.9
FAIL_1D5158F8,2026-05-28,SYS_088,AST_60C93140,1.093474,0.00054117,8512.17
FAIL_14AFC1ED,2026-06-02,SYS_109,AST_0C852F01,1.191496,0.00060442,8629.8
FAIL_EEDE1955,2026-06-08,SYS_107,AST_0C8966EF,1.152807,0.00058115,8583.37
FAIL_D298E15F,2026-06-24,SYS_111,AST_9DD15F47,0.426347,0.0002637,7711.62
FAIL_CA81034B,2026-06-25,SYS_086,AST_0728AF86,1.405593,0.00077456,8886.71
FAIL_451CF611,2026-07-06,SYS_067,AST_5CA81E57,0.562806,0.00030843,7875.37
FAIL_6A056BAE,2026-07-15,SYS_143,AST_F29B86AB,0.83316,0.00041728,8199.79
FAIL_EB8A6065,2026-07-22,SYS_179,AST_65CE1E5F,1.095934,0.00055923,8515.12
FAIL_0B4ADB34,2026-08-28,SYS_194,AST_AFC2A365,0.628585,0.00034134,7954.3
FAIL_3BD73168,2026-09-08,SYS_182,AST_005BCD3C,0.629512,0.00034375,7955.41
FAIL_FFC8DE6A,2026-09-14,SYS_063,AST_54F1946F,1.12024,0.00059163,8544.29
FAIL_9580B872,2026-09-16,SYS_057,AST_3260BE22,1.405889,0.00081085,8887.07
FAIL_E21955AF,2026-09-20,SYS_171,AST_BFB41487,0.621302,0.00034291,7945.56
FAIL_E2C20D77,2026-10-23,SYS_023,AST_7155CAE3,0.694442,0.00037841,8033.33
FAIL_B2AFA80A,2026-10-24,SYS_156,AST_C014C40A,0.730919,0.00039411,8077.1
FAIL_A6EDFD2A,2026-10-25,SYS_160,AST_EE42B4EE,1.03622,0.00055167,8443.46
FAIL_A1926751,2026-10-27,SYS_093,AST_E008ABAF,0.340652,0.000257,7608.78
FAIL_B3A4F547,2026-11-01,SYS_119,AST_A9E07DCD,0.988065,0.00052522,8385.68
FAIL_B8AB0578,2026-11-14,SYS_106,AST_F68C2B16,0.578153,0.00033702,7893.78
FAIL_867E933F,2026-12-03,SYS_084,AST_F5A48F47,0.596126,0.00034734,7915.35
FAIL_5D62B435,2026-12-24,SYS_158,AST_FA571F5C,1.471939,0.00092051,8966.33
FAIL_E422668F,2027-01-19,SYS_056,AST_1FD22902,0.807729,0.00044979,8169.27
FAIL_27828B1C,2027-01-20,SYS_058,AST_29C69D87,0.341318,0.00022377,7609.58
FAIL_4FC149A6,2027-02-19,SYS_117,AST_EE3B7502,1.03763,0.000537,8445.16
FAIL_31FCECBB,2027-02-20,SYS_075,AST_E60AAA9C,1.08419,0.00062038,8501.03
FAIL_24F9C356,2027-03-10,SYS_167,AST_BF41CB64,0.646734,0.00038726,7976.08
FAIL_096FCDF5,2027-03-17,SYS_126,AST_BCC36F08,1.169995,0.00069117,8603.99
FAIL_8401DAE4,2027-03-25,SYS_198,AST_8C8EC664,0.46934,0.00032125,7763.21
FAIL_8C08A243,2027-04-14,SYS_018,AST_D2AAE75F,1.373329,0.00087769,8847.99
FAIL_F8DCB10D,2027-04-29,SYS_122,AST_0A8960BD,1.044111,0.00061616,8452.93
FAIL_4E21DF1D,2027-05-12,SYS_119,AST_82BD2C04,0.786808,0.00039589,8144.17
FAIL_79B0AF92,2027-05-17,SYS_104,AST_34B52F7C,0.944805,0.00055789,8333.77
FAIL_B4F0EBD6,2027-05-28,SYS_171,AST_27532D26,1.083883,0.00056657,8500.66
FAIL_28928556,2027-06-10,SYS_017,AST_75433D0E,0.51062,0.00032673,7812.74
FAIL_DA394401,2027-07-01,SYS_175,AST_987787EC,0.798691,0.00048693,8158.43
FAIL_27DB445A,2027-07-04,SYS_047,AST_BFCB2B08,1.430489,0.00097702,8916.59
