date,systeme_id,asset_id,quantite,increment_usure
2026-01-01,SYS_000,AST_611BCAFE,1.861476,0.002188
2026-01-01,SYS_001,AST_5733BC75,2.076691,0.0122
2026-01-01,SYS_002,AST_8C3021C3,4.158872,0.008919
2026-01-01,SYS_003,AST_10E8FC0A,4.684133,0.004777
2026-01-01,SYS_004,AST_34B81456,1.13849,0.002082
2026-01-01,SYS_005,AST_2355582B,2.561048,0.006437
2026-01-01,SYS_006,AST_01B706B3,2.568415,0.003021
2026-01-01,SYS_007,AST_48BC3EF9,4.398868,0.010236
2026-01-01,SYS_008,AST_18D5AB2B,2.413655,0.004391
2026-01-01,SYS_009,AST_59AE948D,3.733826,0.009348
2026-01-01,SYS_010,AST_BA1E579E,2.53405,0.006256
2026-01-01,SYS_011,AST_C95E4C36,6.402539,0.004723
2026-01-01,SYS_012,AST_400DB418,1.76536,0.008679
2026-01-01,SYS_013,AST_0D114CD8,2.024526,0.007089
2026-01-01,SYS_014,AST_C582AD53,1.36424,0.002336
2026-01-01,SYS_015,AST_0CF332F9,3.434119,0.008217
2026-01-01,SYS_016,AST_75491F89,4.476201,0.013243
2026-01-01,SYS_017,AST_06D80C94,2.507701,0.002065
2026-01-01,SYS_018,AST_D2AAE75F,3.658703,0.008102
2026-01-01,SYS_019,AST_295F6162,1.569004,0.002763
2026-01-01,SYS_020,AST_A7767CC7,3.575308,0.01581
2026-01-01,SYS_021,AST_47CEED8F,2.241325,0.004483
2026-01-01,SYS_022,AST_3A3ABCBA,1.197217,0.001244
2026-01-01,SYS_023,AST_7155CAE3,4.436672,0.007842
2026-01-01,SYS_024,AST_360766DC,3.188567,0.005005
2026-01-01,SYS_025,AST_E767A2E7,3.629644,0.004591
2026-01-01,SYS_026,AST_DC1A2F24,2.251018,0.009478
2026-01-01,SYS_027,AST_F62C7205,1.263252,0.003598
2026-01-01,SYS_028,AST_01BDCD63,1.73605,0.001399
2026-01-01,SYS_029,AST_72182962,2.760152,0.00652
2026-01-01,SYS_030,AST_BC560A24,2.347622,0.006823
2026-01-01,SYS_031,AST_9FC6C1DF,1.997204,0.003018
