asset_id,systeme_id,date_installation,politique
AST_A3927809,SYS_000,2026-01-01,corrective_pure
AST_CE6BDAD7,SYS_001,2026-01-01,corrective_pure
AST_209A860D,SYS_002,2026-01-01,corrective_pure
AST_680DF7B7,SYS_003,2026-01-01,corrective_pure
AST_A8E1225C,SYS_004,2026-01-01,corrective_pure
AST_2FB236F2,SYS_005,2026-01-01,corrective_pure
AST_FC570854,SYS_006,2026-01-01,corrective_pure
AST_12CCDAFF,SYS_007,2026-01-01,corrective_pure
AST_C45E6D1A,SYS_008,2026-01-01,corrective_pure
AST_99BE6D36,SYS_009,2026-01-01,corrective_pure
AST_7042E21A,SYS_010,2026-01-01,corrective_pure
AST_94712B4B,SYS_011,2026-01-01,corrective_pure
AST_4C10F15D,SYS_012,2026-01-01,corrective_pure
AST_AB066D97,SYS_013,2026-01-01,corrective_pure
AST_B3593FC4,SYS_014,2026-01-01,corrective_pure
AST_DAD7EB79,SYS_015,2026-01-01,corrective_pure
AST_B9153615,SYS_016,2026-01-01,corrective_pure
AST_C92EA2C0,SYS_017,2026-01-01,corrective_pure
AST_AC714226,SYS_018,2026-01-01,corrective_pure
AST_0003332F,SYS_019,2026-01-01,corrective_pure
AST_D51C48EF,SYS_020,2026-01-01,corrective_pure
AST_5778DEB3,SYS_021,2026-01-01,corrective_pure
AST_CAF63ED1,SYS_022,2026-01-01,corrective_pure
AST_2F99F634,SYS_023,2026-01-01,corrective_pure
AST_A8A455F9,SYS_024,2026-01-01,corrective_pure
AST_EF72C3BD,SYS_025,2026-01-01,corrective_pure
AST_23763E33,SYS_026,2026-01-01,corrective_pure
AST_73588D52,SYS_027,2026-01-01,corrective_pure
AST_4E19BF85,SYS_028,2026-01-01,corrective_pure
AST_5F0C1997,SYS_029,2026-01-01,corrective_pure
AST_97F59D91,SYS_030,2026-01-01,corrective_pure
AST_04247E08,SYS_031,2026-01-01,corrective_pure
AST_A054240D,SYS_032,2026-01-01,corrective_pure
AST_76080EEF,SYS_033,2026-01-01,corrective_pure
AST_2E64DC5D,SYS_034,2026-01-01,corrective_pure
AST_63737B23,SYS_035,2026-01-01,corrective_pure
AST_44929F98,SYS_036,2026-01-01,corrective_pure
AST_E56AF87A,SYS_037,2026-01-01,corrective_pure
AST_F2406AEE,SYS_038,2026-01-01,corrective_pure
AST_FFAACDF7,SYS_039,2026-01-01,corrective_pure
AST_1213DDD2,SYS_040,2026-01-01,corrective_pure
AST_64663930,SYS_041,2026-01-01,corrective_pure
AST_39CD3654,SYS_042,2026-01-01,corrective_pure
AST_8206A665,SYS_043,2026-01-01,corrective_pure
AST_C1CE19B1,SYS_044,2026-01-01,corrective_pure
AST_FBD91CA1,SYS_045,2026-01-01,corrective_pure
AST_D407BD29,SYS_046,2026-01-01,corrective_pure
AST_4EEE04B0,SYS_047,2026-01-01,corrective_pure
AST_9C47E08B,SYS_048,2026-01-01,corrective_pure
AST_482C2E0B,SYS_049,2026-01-01,corrective_pure
AST_39BC9634,SYS_050,2026-01-01,corrective_pure
AST_9CFB4F0F,SYS_051,2026-01-01,corrective_pure
AST_D9E690D6,SYS_052,2026-01-01,corrective_pure
AST_54AEB0D4,SYS_053,2026-01-01,corrective_pure
AST_526F36B6,SYS_054,2026-01-01,corrective_pure
AST_5EEB844E,SYS_055,2026-01-01,corrective_pure
