id,date,systeme_id,asset_id,usure,probabilite_journaliere,cout
FAIL_9695387A,2026-01-08,SYS_123,AST_2D9C1B12,0.07027,0.00016266,7284.32
FAIL_0A808F7C,2026-01-12,SYS_052,AST_D9E690D6,0.081004,0.00016496,7297.2
FAIL_3DF9BBA6,2026-02-01,SYS_005,AST_2FB236F2,0.244317,0.00019959,7493.18
FAIL_AFC1E129,2026-02-15,SYS_039,AST_FFAACDF7,0.392281,0.00023667,7670.74
FAIL_405C8FF9,2026-02-27,SYS_128,AST_2C9B42C9,0.519285,0.00027395,7823.14
FAIL_C82B9BED,2026-03-11,SYS_108,AST_49DECD0F,0.53463,0.00028045,7841.56
FAIL_375AF465,2026-03-12,SYS_031,AST_04247E08,0.637908,0.00031436,7965.49
FAIL_844183F7,2026-03-24,SYS_170,AST_161B7912,0.69647,0.00033748,8035.76
FAIL_810FA34A,2026-04-19,SYS_035,AST_63737B23,1.005149,0.0004807,8406.18
FAIL_652637D0,2026-05-11,SYS_159,AST_2769309A,0.95249,0.00045915,8342.99
FAIL_95DC1106,2026-05-16,SYS_193,AST_25D168A5,1.212556,0.00061285,8655.07
FAIL_81EB9882,2026-06-05,SYS_129,AST_A056C7A6,1.29015,0.00067479,8748.18
FAIL_2AC764DB,2026-06-24,SYS_006,AST_FC570854,1.317685,0.00070281,8781.22
FAIL_9F438367,2026-07-10,SYS_023,AST_2F99F634,1.595263,0.00096204,9114.32
FAIL_B3C70A8F,2026-07-11,SYS_188,AST_3A3CCCC4,1.452374,0.00082262,8942.85
FAIL_1AFE1CB5,2026-07-12,SYS_045,AST_FBD91CA1,1.667551,0.00104276,9201.06
FAIL_7BFBB66E,2026-07-15,SYS_065,AST_F48F103D,1.543128,0.00091093,9051.75
FAIL_A822C8E5,2026-07-19,SYS_117,AST_A939E0BD,1.486157,0.0008575,8983.39
FAIL_7E555DBD,2026-07-23,SYS_094,AST_BDC9F5DC,1.673048,0.00105542,9207.66
FAIL_A05F52CC,2026-07-28,SYS_144,AST_C9BC982C,1.757767,0.00116162,9309.32
FAIL_DAD93D5C,2026-07-31,SYS_075,AST_4E0C1DED,1.725765,0.00112331,9270.92
FAIL_D3EB90C7,2026-08-02,SYS_018,AST_AC714226,1.77535,0.00118754,9330.42
