stage,trial,score,usure_base,usure_age_facteur,lambda_panne_base,lambda_panne_usure,lambda_panne_age,inspection_noise_std,fraction_usure_restante_apres_reparation
broad,1,19.385347,0.00141942,0.52738997,0.00027056,2.17800135,0.07055574,0.15047805,0.44066992
broad,2,75.806154,0.00171353,0.79659468,0.00029303,2.5,0.22874378,0.26343973,0.49690847
broad,3,1.213458,0.0008,0.63588403,8.76e-05,2.5,0.04085209,0.29212126,0.56103567
broad,4,0.403962,0.00173282,0.36059746,3e-05,2.5,0.2941493,0.42943242,0.7
broad,5,0.59242,0.00180348,0.05,3e-05,2.5,0.1715012,0.41028392,0.7
broad,6,3.385453,0.0027935,0.43414965,3e-05,2.5,0.21363922,0.39443029,0.63420266
broad,7,1.261899,0.00217856,0.35912979,3e-05,2.5,0.44173591,0.47450678,0.69416996
broad,8,3.518739,0.00389995,0.13130872,3e-05,2.5,0.28187138,0.43752667,0.39149449
broad,9,1.237218,0.0008,0.05,3e-05,2.5,0.52237585,0.25059179,0.7
broad,10,0.304373,0.00157703,0.34360492,3e-05,2.5,0.3688849,0.40999077,0.68011392
broad,11,29.074507,0.00381025,0.80646926,5.145e-05,2.5,0.46903972,0.32342305,0.7
broad,12,16.153953,0.00158691,0.32355318,0.00021069,2.34605371,0.24756564,0.30605694,0.37663495
refine,13,0.40414,0.0017389,0.36208683,3e-05,2.5,0.36764797,0.44792665,0.64892829
refine,14,2.60546,0.00156202,0.34574561,6.066e-05,2.5,0.37570978,0.44664473,0.7
refine,15,0.376287,0.00138636,0.42279914,3e-05,2.5,0.40252481,0.41135637,0.67399362
refine,16,6.058262,0.00206091,0.4323858,6.219e-05,2.49040727,0.31747173,0.38897272,0.67990862
refine,17,0.338193,0.00115756,0.39063967,3e-05,2.47672161,0.31154074,0.36501003,0.69059712
refine,18,3.857546,0.0020265,0.26438738,5.761e-05,2.3840053,0.38317171,0.43265772,0.7
refine,19,0.490195,0.00175225,0.36933253,3e-05,2.41418366,0.37868662,0.43424827,0.7
refine,20,0.258578,0.0015687,0.38549472,3e-05,2.37254673,0.37926117,0.45123574,0.7
refine,21,1.170734,0.00157361,0.30653703,4.584e-05,2.5,0.41270685,0.4885872,0.67478056
refine,22,0.714486,0.00147722,0.44401377,3.188e-05,2.2330274,0.32192873,0.4157878,0.7
