metric,observed,simulated_best,abs_error,relative_error
nb_pannes,58.0,57.0,1.0,0.017241
nb_maintenances,1523.0,1906.0,383.0,0.251477
nb_inspections,4742.0,4732.0,10.0,0.002109
cout_total,1671284.53,1880534.14,209249.61,0.125203
cout_pannes,475764.53,481114.14,5349.61,0.011244
disponibilite,0.977616,0.97224,0.005376,0.005499
usure_moyenne,0.675058,0.751814,0.076756,0.113703
proportion_degrades,0.163671,0.234377,0.070705,0.431997
score_inspection_moyen,0.811761,0.827512,0.015751,0.019403
score_inspection_std,0.367556,0.564396,0.196839,0.535536
cout_panne_moyen,8202.836724,8440.598947,237.762223,0.028985
nb_reparations,1408.0,1781.0,373.0,0.264915
nb_remplacements,115.0,125.0,10.0,0.086957
