asset_id,systeme_id,date_installation,politique
AST_3C044E12,SYS_000,2026-01-01,conditionnelle_30j
AST_F94717AF,SYS_001,2026-01-01,conditionnelle_30j
AST_53ADD945,SYS_002,2026-01-01,conditionnelle_30j
AST_35B3FF0B,SYS_003,2026-01-01,conditionnelle_30j
AST_65F217BF,SYS_004,2026-01-01,conditionnelle_30j
AST_D395BFCC,SYS_005,2026-01-01,conditionnelle_30j
AST_5923ED69,SYS_006,2026-01-01,conditionnelle_30j
AST_2D18E63E,SYS_007,2026-01-01,conditionnelle_30j
AST_A4091273,SYS_008,2026-01-01,conditionnelle_30j
AST_5A00C9C1,SYS_009,2026-01-01,conditionnelle_30j
AST_36B79295,SYS_010,2026-01-01,conditionnelle_30j
AST_F27373CF,SYS_011,2026-01-01,conditionnelle_30j
