id,date,systeme_id,asset_id,score,vrai_defaut,alerte,cout
INSP_D45CF30F,2026-01-27,SYS_006,AST_5923ED69,-0.176394,0,0,60.0
INSP_46151B4C,2026-01-29,SYS_002,AST_53ADD945,0.154871,0,0,60.0
INSP_354B6FCB,2026-01-29,SYS_009,AST_5A00C9C1,0.270621,0,0,60.0
INSP_3B4CB685,2026-01-29,SYS_010,AST_36B79295,-0.100727,0,0,60.0
INSP_2701D811,2026-01-30,SYS_005,AST_D395BFCC,0.301441,0,0,60.0
INSP_1B71CCC9,2026-01-30,SYS_007,AST_2D18E63E,0.307329,0,0,60.0
INSP_4499A824,2026-02-01,SYS_001,AST_F94717AF,0.130145,0,0,60.0
INSP_691C53E6,2026-02-01,SYS_003,AST_35B3FF0B,0.409417,0,0,60.0
INSP_71BDD322,2026-02-01,SYS_004,AST_65F217BF,0.53117,0,0,60.0
INSP_618DC8FA,2026-02-01,SYS_008,AST_A4091273,0.412217,0,0,60.0
INSP_8115CDC2,2026-02-02,SYS_000,AST_3C044E12,0.250697,0,0,60.0
INSP_04642BA5,2026-02-03,SYS_011,AST_F27373CF,0.27221,0,0,60.0
INSP_F9695C8E,2026-02-25,SYS_009,AST_5A00C9C1,0.303324,0,0,60.0
INSP_BCAA1A5B,2026-02-26,SYS_004,AST_65F217BF,0.40692,0,0,60.0
INSP_5A79308D,2026-02-26,SYS_006,AST_5923ED69,0.489111,0,0,60.0
INSP_11F006EF,2026-02-27,SYS_005,AST_D395BFCC,0.592594,0,0,60.0
INSP_BBB2A04D,2026-02-27,SYS_007,AST_2D18E63E,0.444759,0,0,60.0
INSP_6DA38A37,2026-03-02,SYS_002,AST_53ADD945,0.066496,0,0,60.0
INSP_2232ECC9,2026-03-02,SYS_003,AST_35B3FF0B,0.413926,0,0,60.0
INSP_E910140F,2026-03-02,SYS_010,AST_36B79295,0.237337,0,0,60.0
INSP_20CD3065,2026-03-04,SYS_001,AST_F94717AF,0.714838,0,0,60.0
INSP_33D2A793,2026-03-04,SYS_008,AST_A4091273,0.923759,0,0,60.0
INSP_BBD7269A,2026-03-05,SYS_011,AST_F27373CF,0.552256,0,0,60.0
INSP_3A564350,2026-03-08,SYS_000,AST_3C044E12,0.132696,0,0,60.0
