date,systeme_id,asset_id,quantite,increment_usure
2026-01-01,SYS_000,AST_3C044E12,2.575598,0.006111
2026-01-01,SYS_001,AST_F94717AF,1.782974,0.009513
2026-01-01,SYS_002,AST_53ADD945,1.478781,0.001567
2026-01-01,SYS_003,AST_35B3FF0B,3.852626,0.005461
2026-01-01,SYS_004,AST_65F217BF,4.033207,0.036249
2026-01-01,SYS_005,AST_D395BFCC,3.346556,0.004498
2026-01-01,SYS_006,AST_5923ED69,1.482314,0.003535
2026-01-01,SYS_007,AST_2D18E63E,1.155577,0.001222
2026-01-01,SYS_008,AST_A4091273,2.97246,0.018601
2026-01-01,SYS_009,AST_5A00C9C1,1.824389,0.003175
2026-01-01,SYS_010,AST_36B79295,1.916496,0.002889
2026-01-01,SYS_011,AST_F27373CF,2.490433,0.004606
2026-01-02,SYS_000,AST_3C044E12,1.920286,0.005896
2026-01-02,SYS_001,AST_F94717AF,4.527198,0.01847
2026-01-02,SYS_002,AST_53ADD945,2.177103,0.004865
2026-01-02,SYS_003,AST_35B3FF0B,3.853713,0.008659
2026-01-02,SYS_004,AST_65F217BF,2.475329,0.00189
2026-01-02,SYS_005,AST_D395BFCC,1.316445,0.001117
2026-01-02,SYS_006,AST_5923ED69,2.754325,0.005926
2026-01-02,SYS_007,AST_2D18E63E,4.307023,0.00599
2026-01-02,SYS_008,AST_A4091273,2.163542,0.003257
2026-01-02,SYS_009,AST_5A00C9C1,3.952676,0.009089
2026-01-02,SYS_010,AST_36B79295,2.084939,0.005215
2026-01-02,SYS_011,AST_F27373CF,6.037542,0.003294
2026-01-03,SYS_000,AST_3C044E12,2.670498,0.003412
2026-01-03,SYS_001,AST_F94717AF,7.559415,0.032823
2026-01-03,SYS_002,AST_53ADD945,3.229105,0.00469
2026-01-03,SYS_003,AST_35B3FF0B,1.69053,0.001995
2026-01-03,SYS_004,AST_65F217BF,1.526308,0.003295
2026-01-03,SYS_005,AST_D395BFCC,2.921697,0.001842
2026-01-03,SYS_006,AST_5923ED69,2.468198,0.034879
2026-01-03,SYS_007,AST_2D18E63E,3.172174,0.005975
2026-01-03,SYS_008,AST_A4091273,3.649773,0.013321
2026-01-03,SYS_009,AST_5A00C9C1,4.325521,0.009108
2026-01-03,SYS_010,AST_36B79295,4.006575,0.01636
2026-01-03,SYS_011,AST_F27373CF,1.843265,0.007744
2026-01-04,SYS_000,AST_3C044E12,3.173461,0.005171
2026-01-04,SYS_001,AST_F94717AF,2.345752,0.005038
2026-01-04,SYS_002,AST_53ADD945,2.947579,0.001589
2026-01-04,SYS_003,AST_35B3FF0B,2.259182,0.004324
2026-01-04,SYS_004,AST_65F217BF,1.922175,0.001764
2026-01-04,SYS_005,AST_D395BFCC,2.517432,0.005383
2026-01-04,SYS_006,AST_5923ED69,3.547245,0.007018
2026-01-04,SYS_007,AST_2D18E63E,1.095705,0.003472
2026-01-04,SYS_008,AST_A4091273,2.396033,0.003699
2026-01-04,SYS_009,AST_5A00C9C1,2.423308,0.005207
2026-01-04,SYS_010,AST_36B79295,1.592322,0.007356
2026-01-04,SYS_011,AST_F27373CF,2.780567,0.010771
2026-01-05,SYS_000,AST_3C044E12,1.568461,0.00456
2026-01-05,SYS_001,AST_F94717AF,1.643347,0.003406
2026-01-05,SYS_002,AST_53ADD945,1.89734,0.00489
2026-01-05,SYS_003,AST_35B3FF0B,2.176326,0.008244
2026-01-05,SYS_004,AST_65F217BF,7.772934,0.025642
2026-01-05,SYS_005,AST_D395BFCC,3.935475,0.006081
2026-01-05,SYS_006,AST_5923ED69,5.652454,0.007719
2026-01-05,SYS_007,AST_2D18E63E,1.684623,0.004224
2026-01-05,SYS_008,AST_A4091273,3.167498,0.002712
2026-01-05,SYS_009,AST_5A00C9C1,1.437577,0.001863
2026-01-05,SYS_010,AST_36B79295,3.667343,0.019771
2026-01-05,SYS_011,AST_F27373CF,4.980167,0.00933
2026-01-06,SYS_000,AST_3C044E12,3.036736,0.003741
2026-01-06,SYS_001,AST_F94717AF,2.266335,0.005099
2026-01-06,SYS_002,AST_53ADD945,8.050755,0.007811
2026-01-06,SYS_003,AST_35B3FF0B,4.91086,0.009842
2026-01-06,SYS_004,AST_65F217BF,1.945395,0.005951
2026-01-06,SYS_005,AST_D395BFCC,3.571189,0.011469
2026-01-06,SYS_006,AST_5923ED69,2.247536,0.006457
2026-01-06,SYS_007,AST_2D18E63E,1.889419,0.006119
2026-01-06,SYS_008,AST_A4091273,1.853461,0.008553
2026-01-06,SYS_009,AST_5A00C9C1,1.740995,0.005257
2026-01-06,SYS_010,AST_36B79295,3.957941,0.003213
2026-01-06,SYS_011,AST_F27373CF,3.643,0.006881
2026-01-07,SYS_000,AST_3C044E12,2.826861,0.002458
2026-01-07,SYS_001,AST_F94717AF,7.50811,0.019106
2026-01-07,SYS_002,AST_53ADD945,3.114869,0.009372
2026-01-07,SYS_003,AST_35B3FF0B,3.009454,0.005877
2026-01-07,SYS_004,AST_65F217BF,1.61924,0.004902
2026-01-07,SYS_005,AST_D395BFCC,2.985335,0.007678
2026-01-07,SYS_006,AST_5923ED69,4.799896,0.010059
2026-01-07,SYS_007,AST_2D18E63E,2.519697,0.003503
2026-01-07,SYS_008,AST_A4091273,3.714284,0.006684
2026-01-07,SYS_009,AST_5A00C9C1,3.096526,0.005436
2026-01-07,SYS_010,AST_36B79295,1.115775,0.000937
2026-01-07,SYS_011,AST_F27373CF,2.766049,0.009718
2026-01-08,SYS_000,AST_3C044E12,1.559811,0.003498
2026-01-08,SYS_001,AST_F94717AF,3.235157,0.013676
2026-01-08,SYS_002,AST_53ADD945,1.279493,0.007829
2026-01-08,SYS_003,AST_35B3FF0B,1.199821,0.003437
2026-01-08,SYS_004,AST_65F217BF,2.718563,0.003568
