asset_id,systeme_id,date_installation,politique
AST_FBF330ED,SYS_000,2026-01-01,mixte_30j_plus_200j
AST_95CFC08A,SYS_001,2026-01-01,mixte_30j_plus_200j
AST_D9DC9CF1,SYS_002,2026-01-01,mixte_30j_plus_200j
AST_7683D3F8,SYS_003,2026-01-01,mixte_30j_plus_200j
AST_E3BB09B0,SYS_004,2026-01-01,mixte_30j_plus_200j
AST_7AB88884,SYS_005,2026-01-01,mixte_30j_plus_200j
AST_E249157B,SYS_006,2026-01-01,mixte_30j_plus_200j
AST_D431CA27,SYS_007,2026-01-01,mixte_30j_plus_200j
AST_DE413253,SYS_008,2026-01-01,mixte_30j_plus_200j
AST_182DCC61,SYS_009,2026-01-01,mixte_30j_plus_200j
AST_8388ABDD,SYS_010,2026-01-01,mixte_30j_plus_200j
AST_A0EE8581,SYS_011,2026-01-01,mixte_30j_plus_200j
AST_3C042C86,SYS_012,2026-01-01,mixte_30j_plus_200j
AST_686CD570,SYS_013,2026-01-01,mixte_30j_plus_200j
AST_6AA5673F,SYS_014,2026-01-01,mixte_30j_plus_200j
AST_FCBE6B6B,SYS_015,2026-01-01,mixte_30j_plus_200j
AST_B97C7FF3,SYS_016,2026-01-01,mixte_30j_plus_200j
AST_A38EC274,SYS_017,2026-01-01,mixte_30j_plus_200j
AST_1D5B34FE,SYS_018,2026-01-01,mixte_30j_plus_200j
AST_A2659BA7,SYS_019,2026-01-01,mixte_30j_plus_200j
AST_A3EFBD2F,SYS_020,2026-01-01,mixte_30j_plus_200j
AST_D52B2838,SYS_021,2026-01-01,mixte_30j_plus_200j
AST_618CB16A,SYS_022,2026-01-01,mixte_30j_plus_200j
AST_76031ACF,SYS_023,2026-01-01,mixte_30j_plus_200j
AST_B4F586D0,SYS_024,2026-01-01,mixte_30j_plus_200j
AST_6B5DB20C,SYS_025,2026-01-01,mixte_30j_plus_200j
AST_6DE321F1,SYS_026,2026-01-01,mixte_30j_plus_200j
AST_E5156798,SYS_027,2026-01-01,mixte_30j_plus_200j
AST_BDF50FB3,SYS_028,2026-01-01,mixte_30j_plus_200j
AST_B89570A7,SYS_029,2026-01-01,mixte_30j_plus_200j
AST_3566E90D,SYS_030,2026-01-01,mixte_30j_plus_200j
AST_CC4CA361,SYS_031,2026-01-01,mixte_30j_plus_200j
AST_C6611059,SYS_032,2026-01-01,mixte_30j_plus_200j
AST_79CDAF02,SYS_033,2026-01-01,mixte_30j_plus_200j
AST_88E26ED8,SYS_034,2026-01-01,mixte_30j_plus_200j
AST_D8A848C2,SYS_035,2026-01-01,mixte_30j_plus_200j
AST_3E1B9AFC,SYS_036,2026-01-01,mixte_30j_plus_200j
AST_ABD0D48E,SYS_037,2026-01-01,mixte_30j_plus_200j
AST_9CB3E137,SYS_038,2026-01-01,mixte_30j_plus_200j
AST_3272C4A1,SYS_039,2026-01-01,mixte_30j_plus_200j
AST_A08ECEF8,SYS_040,2026-01-01,mixte_30j_plus_200j
AST_1AAF5310,SYS_041,2026-01-01,mixte_30j_plus_200j
AST_B568244D,SYS_042,2026-01-01,mixte_30j_plus_200j
AST_0156426D,SYS_043,2026-01-01,mixte_30j_plus_200j
AST_2CDF7154,SYS_044,2026-01-01,mixte_30j_plus_200j
AST_2616CDB7,SYS_045,2026-01-01,mixte_30j_plus_200j
AST_48F4C011,SYS_046,2026-01-01,mixte_30j_plus_200j
AST_A130CD16,SYS_047,2026-01-01,mixte_30j_plus_200j
AST_1D78C349,SYS_048,2026-01-01,mixte_30j_plus_200j
AST_0C241693,SYS_049,2026-01-01,mixte_30j_plus_200j
AST_DE5C366D,SYS_050,2026-01-01,mixte_30j_plus_200j
AST_4FF55DAA,SYS_051,2026-01-01,mixte_30j_plus_200j
