id,date,systeme_id,asset_id,score,vrai_defaut,alerte,cout
INSP_2993D906,2026-01-20,SYS_161,AST_4D0E4E8C,0.257202,0,0,60.0
INSP_2712D05A,2026-01-20,SYS_163,AST_F20B2AD2,0.177254,0,0,60.0
INSP_DA42209E,2026-01-21,SYS_025,AST_6B5DB20C,0.340518,0,0,60.0
INSP_89C99D44,2026-01-22,SYS_021,AST_D52B2838,0.370196,0,0,60.0
INSP_95E54F15,2026-01-23,SYS_085,AST_362265C3,0.157337,0,0,60.0
INSP_6D9ADA47,2026-01-23,SYS_101,AST_8AEE8F28,0.452088,0,0,60.0
INSP_F535BCB1,2026-01-23,SYS_172,AST_F6D5E9AD,0.349486,0,0,60.0
INSP_07D9B37C,2026-01-23,SYS_197,AST_7B53A622,0.258757,0,0,60.0
INSP_26E6EF87,2026-01-24,SYS_048,AST_1D78C349,0.00501,0,0,60.0
INSP_ED29E036,2026-01-25,SYS_030,AST_3566E90D,-0.114502,0,0,60.0
INSP_C89C9FEA,2026-01-25,SYS_033,AST_79CDAF02,0.260063,0,0,60.0
INSP_13E115F0,2026-01-25,SYS_112,AST_5A1B7CBA,0.385381,0,0,60.0
INSP_AF7D2CB5,2026-01-25,SYS_129,AST_8A89E614,-0.205403,0,0,60.0
INSP_1690D236,2026-01-25,SYS_140,AST_0ABF27E8,0.018743,0,0,60.0
INSP_36AC8EC4,2026-01-25,SYS_151,AST_3E883E68,0.192407,0,0,60.0
INSP_4A37183C,2026-01-25,SYS_152,AST_9A0D6DF2,0.212227,0,0,60.0
INSP_642A8D53,2026-01-26,SYS_017,AST_A38EC274,0.330901,0,0,60.0
INSP_AB0F370D,2026-01-26,SYS_035,AST_D8A848C2,0.316683,0,0,60.0
INSP_B9BC4E12,2026-01-26,SYS_037,AST_ABD0D48E,0.460315,0,0,60.0
INSP_69DA77B0,2026-01-26,SYS_041,AST_1AAF5310,-0.087414,0,0,60.0
INSP_B2E83423,2026-01-26,SYS_072,AST_1CB1C3B7,0.489743,0,0,60.0
INSP_15CBE3C4,2026-01-26,SYS_105,AST_3B928935,0.363407,0,0,60.0
INSP_A62C05A0,2026-01-26,SYS_115,AST_641A4AAC,0.294606,0,0,60.0
INSP_982CBC97,2026-01-26,SYS_159,AST_4F7B551A,0.175887,0,0,60.0
INSP_4850F67A,2026-01-26,SYS_182,AST_C6BE83A4,0.353284,0,0,60.0
INSP_0DA634B3,2026-01-26,SYS_187,AST_B5F2F180,0.093527,0,0,60.0
INSP_1D94F491,2026-01-27,SYS_055,AST_AFFB6DE6,0.088198,0,0,60.0
INSP_305226FF,2026-01-27,SYS_059,AST_C644E1B6,0.982192,0,0,60.0
INSP_5894B376,2026-01-27,SYS_075,AST_DEC87001,0.362069,0,0,60.0
INSP_6F06154B,2026-01-27,SYS_077,AST_C8989699,0.0521,0,0,60.0
INSP_D37BCC73,2026-01-27,SYS_088,AST_B43A3C96,0.172284,0,0,60.0
INSP_7FBDFAB0,2026-01-27,SYS_093,AST_11D1C743,0.382864,0,0,60.0
INSP_2CF95D53,2026-01-27,SYS_117,AST_99D49091,0.56101,0,0,60.0
INSP_83591EB1,2026-01-27,SYS_128,AST_AE583E47,0.346973,0,0,60.0
INSP_B74C1250,2026-01-27,SYS_153,AST_81F798ED,0.144998,0,0,60.0
INSP_026785ED,2026-01-27,SYS_154,AST_57C9CAF9,0.567285,0,0,60.0
INSP_B449BC77,2026-01-27,SYS_167,AST_F748322B,0.593952,0,0,60.0
INSP_22FD0B94,2026-01-27,SYS_173,AST_A1F77516,0.50112,0,0,60.0
INSP_371EC7FA,2026-01-27,SYS_195,AST_12138D44,0.233551,0,0,60.0
INSP_64169BC4,2026-01-28,SYS_015,AST_FCBE6B6B,0.422511,0,0,60.0
INSP_2AB53994,2026-01-28,SYS_020,AST_A3EFBD2F,0.792005,0,0,60.0
INSP_153477C8,2026-01-28,SYS_029,AST_B89570A7,0.369253,0,0,60.0
INSP_5D8104FB,2026-01-28,SYS_042,AST_B568244D,0.16151,0,0,60.0
INSP_4BD48B7B,2026-01-28,SYS_058,AST_04B347DD,0.304691,0,0,60.0
INSP_C8575D81,2026-01-28,SYS_068,AST_4F92952F,0.509578,0,0,60.0
INSP_65DC0892,2026-01-28,SYS_074,AST_49234723,0.295092,0,0,60.0
INSP_33154329,2026-01-28,SYS_095,AST_D05C72AA,0.300496,0,0,60.0
INSP_913C2130,2026-01-28,SYS_097,AST_FA2A9157,-0.1129,0,0,60.0
INSP_01D754C0,2026-01-28,SYS_098,AST_4C366085,0.092558,0,0,60.0
INSP_4B632555,2026-01-28,SYS_119,AST_AA994217,-0.070041,0,0,60.0
INSP_1CF8C30D,2026-01-28,SYS_126,AST_48D1B43A,0.584268,0,0,60.0
INSP_4ECDD478,2026-01-28,SYS_127,AST_4C7C3CF2,0.325762,0,0,60.0
INSP_5A075FA0,2026-01-28,SYS_131,AST_74CA1C60,0.069143,0,0,60.0
INSP_AFF16EB1,2026-01-28,SYS_133,AST_094FE12F,0.312193,0,0,60.0
INSP_23017724,2026-01-28,SYS_139,AST_4D31EFA7,0.226391,0,0,60.0
INSP_1E635417,2026-01-28,SYS_158,AST_B26D0E2F,0.373861,0,0,60.0
INSP_E11107F9,2026-01-28,SYS_165,AST_70A1C411,0.336506,0,0,60.0
INSP_5B4E976A,2026-01-28,SYS_170,AST_25E6ED38,-0.12658,0,0,60.0
INSP_49BBA11B,2026-01-28,SYS_180,AST_71909D6B,0.151228,0,0,60.0
INSP_2ED98935,2026-01-28,SYS_184,AST_3ABB844B,0.308755,0,0,60.0
INSP_75998381,2026-01-28,SYS_190,AST_5541B8F6,0.257315,0,0,60.0
INSP_E991D40B,2026-01-29,SYS_008,AST_DE413253,0.384462,0,0,60.0
INSP_BE3C5C5D,2026-01-29,SYS_046,AST_48F4C011,0.028268,0,0,60.0
INSP_50F0B99A,2026-01-29,SYS_047,AST_A130CD16,0.256514,0,0,60.0
INSP_E7F9BA0A,2026-01-29,SYS_069,AST_7178B12C,0.664117,0,0,60.0
INSP_D2FCFD91,2026-01-29,SYS_076,AST_7341D89D,0.556296,0,0,60.0
INSP_C741F09A,2026-01-29,SYS_100,AST_0C6FEB61,0.454377,0,0,60.0
INSP_40182B9D,2026-01-29,SYS_109,AST_7E185D2C,0.435947,0,0,60.0
INSP_3B333BDC,2026-01-29,SYS_114,AST_FD9500E2,0.206961,0,0,60.0
INSP_B41432CA,2026-01-29,SYS_123,AST_E3437519,0.300126,0,0,60.0
INSP_544D2B5E,2026-01-29,SYS_145,AST_8791D6B7,-0.091112,0,0,60.0
INSP_40D5D2D2,2026-01-29,SYS_162,AST_C5A039AE,0.497412,0,0,60.0
INSP_77733EF8,2026-01-29,SYS_164,AST_27DE4A7E,0.192699,0,0,60.0
INSP_E60CEA90,2026-01-29,SYS_168,AST_A96ADCE8,0.080909,0,0,60.0
INSP_485B4039,2026-01-29,SYS_169,AST_AB37D550,0.038367,0,0,60.0
INSP_5075B44A,2026-01-29,SYS_194,AST_084275E4,0.165722,0,0,60.0
INSP_74F0D7E1,2026-01-29,SYS_198,AST_DF0D8143,0.204556,0,0,60.0
INSP_382379B7,2026-01-30,SYS_000,AST_FBF330ED,0.299032,0,0,60.0
INSP_60057EB4,2026-01-30,SYS_038,AST_9CB3E137,0.481796,0,0,60.0
INSP_8D616C21,2026-01-30,SYS_039,AST_3272C4A1,0.309712,0,0,60.0
INSP_AC4C0161,2026-01-30,SYS_060,AST_59181FE3,0.399337,0,0,60.0
INSP_D1954783,2026-01-30,SYS_070,AST_61C41EF7,0.060198,0,0,60.0
INSP_1A1C4649,2026-01-30,SYS_081,AST_EE25DFDE,0.010514,0,0,60.0
INSP_ED820A8E,2026-01-30,SYS_111,AST_A82BE3A4,0.470984,0,0,60.0
INSP_4F6105C3,2026-01-30,SYS_113,AST_8F2D9FC8,0.144347,0,0,60.0
INSP_2BF82ED0,2026-01-30,SYS_120,AST_DB56604D,0.100855,0,0,60.0
INSP_5D328183,2026-01-30,SYS_121,AST_72112F1D,0.527007,0,0,60.0
INSP_2B8D6F5E,2026-01-30,SYS_144,AST_8BCB0C52,0.347825,0,0,60.0
