id,date,systeme_id,asset_id,usure,probabilite_journaliere,cout
FAIL_72774AA6,2026-01-22,SYS_146,AST_C2B16293,0.131993,0.00017543,7358.39
FAIL_DCCEF17B,2026-02-14,SYS_052,AST_86C76A74,0.342092,0.00022384,7610.51
FAIL_2E44DA9A,2026-02-16,SYS_022,AST_618CB16A,0.313252,0.00021709,7575.9
FAIL_6E1B817E,2026-03-05,SYS_114,AST_FD9500E2,0.532454,0.00027886,7838.94
FAIL_77BB0D69,2026-03-15,SYS_150,AST_06186A8F,0.618822,0.00030833,7942.59
FAIL_81841141,2026-03-25,SYS_136,AST_B39CFEE3,0.682798,0.00033263,8019.36
FAIL_6C760DFE,2026-04-05,SYS_056,AST_ED887951,0.915509,0.00043224,8298.61
FAIL_C65BF144,2026-04-24,SYS_060,AST_59181FE3,0.862861,0.00041219,8235.43
FAIL_59BDD336,2026-05-01,SYS_090,AST_8B00CCEE,0.920743,0.00044097,8304.89
FAIL_E72E1588,2026-05-24,SYS_039,AST_3272C4A1,1.237646,0.00063276,8685.18
FAIL_1896A5FC,2026-05-25,SYS_089,AST_B690C7AF,0.575859,0.00030577,7891.03
FAIL_67401242,2026-05-30,SYS_024,AST_B4F586D0,1.196674,0.00060687,8636.01
FAIL_D2F2ECAD,2026-06-15,SYS_005,AST_7AB88884,0.582156,0.00031146,7898.59
FAIL_B9D99D55,2026-06-16,SYS_104,AST_8808D6E8,0.713886,0.00036021,8056.66
FAIL_1BBC921A,2026-07-10,SYS_180,AST_71909D6B,0.910529,0.00045309,8292.64
FAIL_E08269AE,2026-08-29,SYS_101,AST_34007ADA,0.27236,0.00020686,7526.83
FAIL_81494CEF,2026-09-19,SYS_010,AST_C7E71C43,0.457126,0.00025641,7748.55
FAIL_FB47C561,2026-10-25,SYS_028,AST_FA33F380,0.889244,0.00042063,8267.09
FAIL_1F3E7341,2026-10-29,SYS_103,AST_A47CAA3B,0.768571,0.00036916,8122.29
FAIL_3F623EF3,2026-11-03,SYS_039,AST_FCE0754B,1.328007,0.00070656,8793.61
FAIL_9C4DC146,2026-11-27,SYS_054,AST_CF52465D,0.977635,0.00047202,8373.16
FAIL_49EFE07B,2026-11-30,SYS_104,AST_129865DC,0.486359,0.00028062,7783.63
FAIL_E462C775,2026-12-20,SYS_047,AST_A289E0C6,0.973036,0.0004756,8367.64
FAIL_8F153F30,2027-01-01,SYS_130,AST_EDA290E3,0.759628,0.00037859,8111.55
FAIL_8DA1FAC2,2027-01-09,SYS_116,AST_5E7049AA,0.640255,0.00033347,7968.31
FAIL_5FDC2033,2027-01-24,SYS_195,AST_D63DF779,0.803425,0.00040231,8164.11
FAIL_EDF05525,2027-01-28,SYS_107,AST_F99FC223,0.866225,0.00043202,8239.47
FAIL_55B0F535,2027-01-29,SYS_184,AST_74255B04,0.893807,0.00044557,8272.57
FAIL_F17E81C6,2027-03-17,SYS_075,AST_BEC4C595,0.28718,0.00021026,7544.62
FAIL_4D5DA949,2027-04-07,SYS_082,AST_22ACB9CA,0.42154,0.00024657,7705.85
FAIL_850B7865,2027-04-23,SYS_117,AST_AD92E55A,0.592518,0.0003002,7911.02
FAIL_2FA77911,2027-05-17,SYS_179,AST_6406B186,0.369376,0.00024047,7643.25
FAIL_BEC87988,2027-05-29,SYS_102,AST_654E65F9,0.88228,0.00042109,8258.74
FAIL_9CDF2EE8,2027-06-09,SYS_198,AST_DD98E536,0.277706,0.00021788,7533.25
FAIL_F8B0F238,2027-06-19,SYS_006,AST_33C533AD,1.06033,0.0005181,8472.4
FAIL_0769EA15,2027-06-23,SYS_001,AST_34D78B20,1.03632,0.0005057,8443.58
FAIL_EDEF942B,2027-06-23,SYS_174,AST_2FC25D3A,1.04184,0.00050878,8450.21
FAIL_9F79C59D,2027-07-13,SYS_136,AST_51AD1A7D,0.591818,0.00029964,7910.18
FAIL_024CD299,2027-07-18,SYS_076,AST_6784BE61,0.252341,0.00021646,7502.81
FAIL_A388C153,2027-07-27,SYS_164,AST_F4B67099,0.681695,0.00034883,8018.03
FAIL_C9158F63,2027-09-21,SYS_174,AST_54BE8E2A,0.713332,0.00034531,8056.0
FAIL_02A9056D,2027-09-25,SYS_028,AST_FAD86A2D,1.015889,0.00049366,8419.07
FAIL_F6EA4C32,2027-10-05,SYS_090,AST_EED73AFA,1.006534,0.00048514,8407.84
FAIL_343D40FC,2027-10-06,SYS_095,AST_40DCE8CD,0.293767,0.00021214,7552.52
FAIL_29942836,2027-10-24,SYS_023,AST_22D1661D,0.504839,0.00027022,7805.81
FAIL_BE606DAA,2027-10-24,SYS_075,AST_043FD644,0.124979,0.00017408,7349.98
FAIL_BB3F3180,2027-11-11,SYS_070,AST_CCDD8778,0.76437,0.00036305,8117.24
FAIL_BAD940C5,2027-11-13,SYS_011,AST_E7537B8E,0.631666,0.00031409,7958.0
FAIL_2CF6CF4D,2027-12-08,SYS_123,AST_1E223166,0.824892,0.00039382,8189.87
FAIL_54408AAC,2027-12-26,SYS_088,AST_8B093B4C,1.107495,0.0005427,8528.99
