politique,replication,n_systemes,n_jours,nb_inspections,nb_maintenances,nb_pannes,cout_inspections,cout_maintenance,cout_pannes,cout_total,disponibilite,sensibilite_empirique,specificite_empirique
corrective_pure,1,50,365,0,28,28,0,50400.0,276548.99,326948.99,0.993918,0.0,0.0
corrective_pure,2,50,365,0,24,24,0,43200.0,246374.84,289574.84,0.995123,0.0,0.0
corrective_pure,3,50,365,0,23,23,0,41400.0,229412.43,270812.43,0.994959,0.0,0.0
corrective_pure,4,50,365,0,26,26,0,46800.0,259472.64,306272.64,0.99463,0.0,0.0
corrective_pure,5,50,365,0,17,17,0,30600.0,168368.95,198968.95,0.996329,0.0,0.0
conditionnelle_30j,1,50,365,581,155,4,34860.0,85300.0,32829.24,152989.24,0.982356,0.781955,0.895089
conditionnelle_30j,2,50,365,577,156,6,34620.0,89700.0,48216.45,172536.45,0.981918,0.75,0.868709
conditionnelle_30j,3,50,365,591,148,5,35460.0,85700.0,40753.31,161913.31,0.982795,0.744526,0.909692
conditionnelle_30j,4,50,365,581,158,2,34860.0,85500.0,16688.91,137048.91,0.982137,0.77037,0.883408
conditionnelle_30j,5,50,365,582,158,11,34920.0,95900.0,90628.41,221448.41,0.98126,0.763158,0.871795
systematique_200j,1,50,365,0,59,11,0,106200.0,91599.62,197799.62,0.987123,0.0,0.0
systematique_200j,2,50,365,0,55,9,0,99000.0,78226.53,177226.53,0.987945,0.0,0.0
systematique_200j,3,50,365,0,58,8,0,104400.0,65564.36,169964.36,0.987288,0.0,0.0
systematique_200j,4,50,365,0,54,4,0,97200.0,33307.75,130507.75,0.988219,0.0,0.0
systematique_200j,5,50,365,0,53,6,0,95400.0,52000.64,147400.64,0.988384,0.0,0.0
mixte_30j_plus_200j,1,50,365,560,146,3,33600.0,140600.0,23957.16,198157.16,0.978301,0.735632,0.936575
mixte_30j_plus_200j,2,50,365,552,143,7,33120.0,145600.0,56497.3,235217.3,0.978082,0.695122,0.934043
mixte_30j_plus_200j,3,50,365,556,148,6,33360.0,145500.0,50508.65,229368.65,0.977808,0.792208,0.931106
mixte_30j_plus_200j,4,50,365,559,150,3,33540.0,143900.0,23481.46,200921.46,0.977753,0.753425,0.911523
mixte_30j_plus_200j,5,50,365,555,153,6,33300.0,148000.0,46849.83,228149.83,0.977315,0.746835,0.915966
