asset_id,systeme_id,date_installation,politique
AST_C99D2BFF,SYS_000,2026-01-01,systematique_200j
AST_B4CD098B,SYS_001,2026-01-01,systematique_200j
AST_88290FB6,SYS_002,2026-01-01,systematique_200j
AST_BAEB0DC8,SYS_003,2026-01-01,systematique_200j
AST_CB926A1A,SYS_004,2026-01-01,systematique_200j
AST_561DD023,SYS_005,2026-01-01,systematique_200j
AST_001C64CB,SYS_006,2026-01-01,systematique_200j
AST_AB9579C3,SYS_007,2026-01-01,systematique_200j
AST_48108E1D,SYS_008,2026-01-01,systematique_200j
AST_5E723BA5,SYS_009,2026-01-01,systematique_200j
AST_421E4C41,SYS_010,2026-01-01,systematique_200j
AST_53D8D3E3,SYS_011,2026-01-01,systematique_200j
AST_2DA96BA7,SYS_012,2026-01-01,systematique_200j
AST_6E4D7680,SYS_013,2026-01-01,systematique_200j
AST_49526BF0,SYS_014,2026-01-01,systematique_200j
AST_5695567B,SYS_015,2026-01-01,systematique_200j
AST_98C7A644,SYS_016,2026-01-01,systematique_200j
AST_8EF44E07,SYS_017,2026-01-01,systematique_200j
AST_CC586B98,SYS_018,2026-01-01,systematique_200j
AST_D48DB76D,SYS_019,2026-01-01,systematique_200j
AST_4F798C9F,SYS_020,2026-01-01,systematique_200j
AST_93FABA4A,SYS_021,2026-01-01,systematique_200j
AST_36BDF128,SYS_022,2026-01-01,systematique_200j
AST_C0966294,SYS_023,2026-01-01,systematique_200j
AST_675E127D,SYS_024,2026-01-01,systematique_200j
AST_8BEA6A56,SYS_025,2026-01-01,systematique_200j
AST_6F83BA5E,SYS_026,2026-01-01,systematique_200j
AST_FDCB6CC6,SYS_027,2026-01-01,systematique_200j
AST_AEDA01A0,SYS_028,2026-01-01,systematique_200j
AST_60084B7F,SYS_029,2026-01-01,systematique_200j
AST_6C4E7AB2,SYS_030,2026-01-01,systematique_200j
AST_FEB31E7B,SYS_031,2026-01-01,systematique_200j
AST_CF1F8C29,SYS_032,2026-01-01,systematique_200j
AST_CC1CF282,SYS_033,2026-01-01,systematique_200j
AST_0CA552F1,SYS_034,2026-01-01,systematique_200j
AST_2F745B76,SYS_035,2026-01-01,systematique_200j
AST_C10A1ABC,SYS_036,2026-01-01,systematique_200j
AST_791A59D6,SYS_037,2026-01-01,systematique_200j
AST_04BAFAFF,SYS_038,2026-01-01,systematique_200j
AST_00A4425C,SYS_039,2026-01-01,systematique_200j
AST_A09C75B0,SYS_040,2026-01-01,systematique_200j
AST_9AEBCE97,SYS_041,2026-01-01,systematique_200j
AST_5FCEEACB,SYS_042,2026-01-01,systematique_200j
