id,date,systeme_id,asset_id,usure,probabilite_journaliere,cout
FAIL_A6AD34E9,2026-01-03,SYS_161,AST_927FA79A,0.020741,0.00015362,7224.89
FAIL_024DAEE5,2026-01-13,SYS_150,AST_585BC7C3,0.087679,0.00016626,7305.21
FAIL_73FBDA19,2026-01-25,SYS_000,AST_C99D2BFF,0.173844,0.000184,7408.61
FAIL_1AD89693,2026-01-25,SYS_030,AST_6C4E7AB2,0.188965,0.00018708,7426.76
FAIL_A9939374,2026-01-28,SYS_002,AST_88290FB6,0.225268,0.00019502,7470.32
FAIL_2668806F,2026-03-31,SYS_073,AST_7E6F6879,0.623284,0.00031258,7947.94
FAIL_C6549740,2026-04-21,SYS_161,AST_12DD3227,0.847382,0.00040413,8216.86
FAIL_FFF6273C,2026-05-01,SYS_194,AST_0E0CA294,0.988273,0.00047497,8385.93
FAIL_6D606CE1,2026-05-07,SYS_150,AST_9487CA12,0.960852,0.00045935,8353.02
FAIL_E6578144,2026-05-24,SYS_083,AST_2D937F05,1.177438,0.00059222,8612.93
FAIL_FF944CC2,2026-06-17,SYS_056,AST_A07C05AD,1.427384,0.00078987,8912.86
FAIL_24CAC73B,2026-06-25,SYS_125,AST_A6A211FF,1.478471,0.00083918,8974.17
FAIL_EFC8A4E6,2026-06-30,SYS_196,AST_FF5B85CA,1.712444,0.00108834,9254.93
FAIL_D64A585A,2026-07-09,SYS_087,AST_696AE1F9,1.578221,0.00094366,9093.86
FAIL_C32D4C9C,2026-07-10,SYS_168,AST_3062B617,1.688303,0.00106566,9225.96
FAIL_A4DD105D,2026-07-30,SYS_126,AST_B88862EA,0.042355,0.000158,7250.83
FAIL_7B380E5F,2026-08-11,SYS_015,AST_3C7AA11D,0.118384,0.00017292,7342.06
FAIL_7F0B6B58,2026-08-21,SYS_146,AST_E84F0E7C,0.22667,0.00019586,7472.0
FAIL_20421973,2026-08-27,SYS_157,AST_CC9BDAB8,0.257377,0.00020326,7508.85
FAIL_1D4A2D55,2026-09-09,SYS_033,AST_9E949423,0.397919,0.00023893,7677.5
FAIL_68F04566,2026-09-14,SYS_089,AST_84F7AB07,0.356929,0.00022902,7628.31
FAIL_EF794AC6,2026-09-14,SYS_177,AST_6F1638DD,0.411767,0.00024326,7694.12
FAIL_60CF4B49,2026-10-27,SYS_197,AST_FC2C2D1D,0.830647,0.00039481,8196.78
FAIL_8936A937,2026-10-29,SYS_191,AST_38AE7C7C,0.816057,0.00038895,8179.27
FAIL_0D28BA2B,2026-11-10,SYS_192,AST_2368A06E,0.92909,0.00044334,8314.91
FAIL_CAE63D06,2026-11-16,SYS_103,AST_0C21C1BB,0.856776,0.00041079,8228.13
FAIL_476917A8,2026-12-17,SYS_047,AST_3819DAC8,1.190306,0.00060297,8628.37
FAIL_1F70A025,2026-12-27,SYS_080,AST_F43442F9,1.148642,0.00057913,8578.37
FAIL_974BDB5C,2026-12-28,SYS_196,AST_6D5352CE,1.516456,0.00087785,9019.75
FAIL_47B7ABA9,2027-01-04,SYS_041,AST_7FA6FD56,1.36984,0.00074185,8843.81
FAIL_5926E3DD,2027-01-09,SYS_182,AST_49BB777F,1.476409,0.00083636,8971.69
FAIL_0C6D09FC,2027-01-20,SYS_014,AST_08FB5027,1.601731,0.00096572,9122.08
FAIL_56FED60B,2027-02-01,SYS_091,AST_FE48F4CE,1.58557,0.00095497,9102.68
FAIL_7576F7FB,2027-02-01,SYS_180,AST_1A41ED35,1.55191,0.00092028,9062.29
FAIL_2DE42EC4,2027-02-19,SYS_142,AST_79838C77,0.071034,0.00016343,7285.24
FAIL_BB3CAC64,2027-04-04,SYS_073,AST_23B6AA36,1.602547,0.00095868,9123.06
FAIL_B47A983C,2027-04-06,SYS_069,AST_D7D771C9,0.488344,0.00026522,7786.01
