Jour,ID_Composant,Type_Evenement,Niveau_Usure,Cout_Associe
15,COMP-000,INSPECTION_RAS,2.48,0
15,COMP-001,INSPECTION_RAS,2.3,0
15,COMP-002,INSPECTION_RAS,2.43,0
15,COMP-003,INSPECTION_RAS,2.35,0
15,COMP-004,INSPECTION_RAS,2.2,0
15,COMP-005,INSPECTION_RAS,2.38,0
15,COMP-006,INSPECTION_RAS,2.4,0
15,COMP-007,INSPECTION_RAS,2.44,0
15,COMP-008,INSPECTION_RAS,2.27,0
15,COMP-009,INSPECTION_RAS,2.35,0
15,COMP-010,INSPECTION_RAS,2.4,0
15,COMP-011,MAINT_PREVENTIVE,2.29,400
15,COMP-012,INSPECTION_RAS,2.4,0
15,COMP-013,INSPECTION_RAS,2.29,0
15,COMP-014,INSPECTION_RAS,2.41,0
15,COMP-015,INSPECTION_RAS,2.33,0
15,COMP-016,INSPECTION_RAS,2.3,0
15,COMP-017,INSPECTION_RAS,2.36,0
15,COMP-018,INSPECTION_RAS,2.49,0
15,COMP-019,INSPECTION_RAS,2.41,0
15,COMP-020,INSPECTION_RAS,2.5,0
15,COMP-021,INSPECTION_RAS,2.4,0
15,COMP-022,INSPECTION_RAS,2.2,0
15,COMP-023,INSPECTION_RAS,2.39,0
15,COMP-024,INSPECTION_RAS,2.28,0
15,COMP-025,INSPECTION_RAS,2.25,0
15,COMP-026,INSPECTION_RAS,2.29,0
15,COMP-027,INSPECTION_RAS,2.33,0
15,COMP-028,INSPECTION_RAS,2.41,0
15,COMP-029,INSPECTION_RAS,2.44,0
15,COMP-030,INSPECTION_RAS,2.25,0
15,COMP-031,INSPECTION_RAS,2.27,0
15,COMP-032,INSPECTION_RAS,2.47,0
15,COMP-033,MAINT_PREVENTIVE,2.32,400
15,COMP-034,INSPECTION_RAS,2.43,0
15,COMP-035,INSPECTION_RAS,2.47,0
15,COMP-036,INSPECTION_RAS,2.55,0
15,COMP-037,INSPECTION_RAS,2.47,0
15,COMP-038,INSPECTION_RAS,2.51,0
15,COMP-039,INSPECTION_RAS,2.2,0
15,COMP-040,INSPECTION_RAS,2.48,0
15,COMP-041,INSPECTION_RAS,2.51,0
15,COMP-042,INSPECTION_RAS,2.35,0
